,Name,Population,Longitude,Latitude,Occurrence
0,Torino,872091,7.68068748,45.0732745,44.0
1,Novara,101933,8.62191588,45.44588506,0.0
2,Asti,74320,8.20414255,44.89912921,0.0
3,Alessandria,89446,8.61540116,44.91297351,0.0
4,Savona,60760,8.48110865,44.30750461,5.0
5,Genova,582320,8.9326992,44.41149314,20.0
6,La Spezia,92439,9.8281897,44.10704991,0.0
7,Busto Arsizio,79563,8.85494196,45.61508411,192.0
8,Varese,79333,8.82286834,45.81701677,0.0
9,Como,83422,9.08515955,45.8099912,0.0
10,Cinisello Balsamo,71840,9.21357368,45.55836354,0.0
11,Milano,1262101,9.1903474,45.46679408,60.0
12,Sesto San Giovanni,76791,9.23651246,45.53352962,0.0
13,Bergamo,115072,9.66842453,45.69441368,81.0
14,Brescia,188520,10.21910323,45.53993052,0.0
15,Pavia,68313,9.16015719,45.18509264,0.0
16,Vigevano,61242,8.85987557,45.31761391,0.0
17,Cremona,72137,10.02420865,45.13336675,0.0
18,Bolzano,103891,11.35662422,46.49933453,2.0
19,Trento,115540,11.12123097,46.06893511,0.0
20,Verona,253409,10.99352685,45.43839046,39.0
21,Vicenza,113639,11.54597109,45.54749699,0.0
22,Treviso,82462,12.24507364,45.6675457,38.0
23,Venezia,259263,12.33845214,45.43490484,122.0
24,Padova,207245,11.87608719,45.40692987,0.0
25,Udine,98780,13.23483835,46.06255516,0.0
26,Trieste,201148,13.7681366,45.6494354,11.0
27,Piacenza,100843,9.6926326,45.05193461,0.0
28,Parma,177714,10.32834985,44.80107394,4.0
29,Reggio nell'Emilia,163928,10.63007973,44.69735289,0.0
30,Carpi,67408,10.88526276,44.78247939,0.0
31,Modena,179353,10.92615487,44.64600008,0.0
32,Bologna,380635,11.3417208,44.4943668,88.0
33,Imola,68974,11.71415595,44.35307392,0.0
34,Ferrara,131842,11.61868934,44.83599085,0.0
35,Ravenna,154288,12.19913937,44.41722492,0.0
36,Cesena,96984,12.24217492,44.13654899,0.0
37,Forlì,116029,12.04068608,44.22268559,0.0
38,Fano,63119,13.01966068,43.84340093,0.0
39,Pesaro,94615,12.91345991,43.91014021,0.0
40,Ancona,100343,13.51887537,43.61675973,10.0
41,Carrara,64404,10.09678309,44.07729932,0.0
42,Massa,69022,10.14173829,44.03674425,0.0
43,Lucca,87598,10.50151366,43.84432282,0.0
44,Viareggio,61238,10.24981154,43.8669427,0.0
45,Pistoia,88904,10.91734146,43.933465,0.0
46,Firenze,366039,11.25588885,43.76923077,53.0
47,Livorno,156998,10.3086781,43.55234873,0.0
48,Pisa,86263,10.40127259,43.71553206,76.0
49,Arezzo,98352,11.88228845,43.46642752,0.0
50,Grosseto,79216,11.11356398,42.76026757,5.0
51,Perugia,162986,12.38824699,43.1067584,5.0
52,Terni,109382,12.64668751,42.56071258,0.0
53,Viterbo,63707,12.10473417,42.41738279,0.0
54,Guidonia Montecelio,83211,12.72638633,42.000078,0.0
55,Roma,2638842,12.48366723,41.89277044,50.0
56,Fiumicino,69692,12.23686815,41.77221205,331.0
57,Aprilia,68400,12.64816922,41.59415376,0.0
58,Latina,119426,12.90368485,41.46759464,0.0
59,Caserta,74868,14.33240485,41.07465878,0.0
60,Benevento,60797,14.7815172,41.12969986,0.0
61,Afragola,63674,14.30986619,40.92236049,0.0
62,Casoria,78229,14.29026011,40.90566059,79.0
63,Castellammare di Stabia,65929,14.48032413,40.69452529,0.0
64,Giugliano in Campania,110473,14.20108889,40.92833418,0.0
65,Napoli,959052,14.25085002,40.83956554,0.0
66,Pozzuoli,80812,14.0908948,40.84681848,0.0
67,Torre del Greco,85382,14.36552432,40.78669006,0.0
68,Salerno,131925,14.75940296,40.67821959,0.0
69,L'Aquila,68304,13.39843828,42.35122195,0.0
70,Pescara,117091,14.21364841,42.46458397,9.0
71,Foggia,148573,15.54305185,41.46226862,0.0
72,Altamura,69901,16.55231244,40.82794435,0.0
73,Bari,313213,16.86737016,41.12559562,50.0
74,Molfetta,60338,16.60063235,41.20503057,0.0
75,Taranto,198728,17.23237621,40.47354719,0.0
76,Brindisi,88611,17.94602372,40.63848508,22.0
77,Lecce,89598,18.17190671,40.35354239,0.0
78,Potenza,66405,15.8051495,40.63947047,0.0
79,Matera,60009,16.59792694,40.66751166,0.0
80,Cosenza,69065,16.25609864,39.29308673,0.0
81,Catanzaro,89062,16.59440429,38.90597588,0.0
82,Lamezia Terme,70261,16.31939038,38.97522103,25.0
83,Reggio di Calabria,180686,15.64345359,38.10922766,6.0
84,Marsala,80587,12.43494685,37.79917261,0.0
85,Trapani,68967,12.51365685,38.01850065,28.0
86,Palermo,654987,13.36235675,38.11569725,63.0
87,Messina,242267,15.55572383,38.19395841,0.0
88,Caltanissetta,61651,14.06184986,37.49213171,0.0
89,Gela,75618,14.25035002,37.06545435,3.0
90,Catania,290678,15.08704738,37.50287801,115.0
91,Ragusa,69816,14.7306992,36.92509197,0.0
92,Vittoria,62287,14.53800649,36.94878747,11.0
93,Siracusa,118644,15.2933324,37.05991685,0.0
94,Sassari,125672,8.55966713,40.72667657,83.0
95,Cagliari,149575,9.11061631,39.21531191,0.0
96,Quartu Sant'Elena,69443,9.18534391,39.24108358,43.0
97,Rimini,143731,12.56562951,44.06090086,3.0
98,Prato,187159,11.09703315,43.88062274,0.0
99,Monza,120440,9.27358247,45.58439043,0.0
100,Andria,100432,16.29520624,41.22705031,0.0
101,Barletta,94681,16.27717589,41.31955658,0.0
