,City,Occurrence
0,Catanzaro,0
1,Bari,50
2,Foggia,0
3,Taranto,0
4,Lecce,0
5,Pescara,9
6,Brindisi,22
7,Lamezia Terme,25
8,Catania,115
9,Vittoria,11
10,Gela,3
11,Palermo,63
12,Reggio di Calabria,6
13,Trapani,28
14,Sassari,83
15,Quartu Sant'Elena,43
16,Busto Arsizio,192
17,Bergamo,81
18,Torino,44
19,Savona,5
20,Genova,20
21,Milano,60
22,Parma,4
23,Udine,0
24,Bolzano,2
25,Bologna,88
26,Treviso,38
27,Forlì,0
28,Brescia,0
29,Trieste,11
30,Rimini,3
31,Vicenza,0
32,Padova,0
33,Verona,39
34,Venezia,122
35,Arezzo,0
36,Roma,50
37,Fiumicino,331
38,Grosseto,5
39,Latina,0
40,Casoria,79
41,Pisa,76
42,Firenze,53
43,Perugia,5
44,Ancona,10
45,Varese,0
46,Salerno,0
47,Carrara,0
